transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,balance_after_transaction,merchant_category
2637.0,501958.0,2024-01-01,05:17:12,Deposit,34056.0,436207.0,Groceries
2946.0,502538.0,,05:52:55,Transfer,39582.0,394827.0,Bills
3200.0,502798.0,2024-01-01,06:24:45,Deposit,19530.0,147027.0,Groceries
3969.0,501923.0,2024-01-01,07:53:27,Withdrawal,3158.0,417600.0,Shopping
4594.0,500676.0,2024-01-01,09:08:29,Transfer,6572.0,209656.0,Groceries
5500.0,502929.0,2024-01-01,11:02:08,,23647.0,,Shopping
5785.0,,2024-01-01,,Transfer,16195.0,151576.0,Travel
,,2024-01-01,,Transfer,30631.0,287337.0,Groceries
6202.0,501243.0,2024-01-01,12:20:36,Deposit,22871.0,241975.0,Shopping
7423.0,501109.0,2024-01-01,14:54:43,Deposit,6474.0,128482.0,Groceries
10260.0,500496.0,2024-01-01,20:28:50,Withdrawal,11316.0,77720.0,Groceries
10354.0,500269.0,2024-01-01,20:41:34,Transfer,30519.0,365415.0,Travel
11027.0,501231.0,,21:59:45,Deposit,10908.0,,
11399.0,502837.0,2024-01-01,22:43:32,Transfer,8864.0,349718.0,Dining
464.0,,2024-01-02,00:53:34,Transfer,43973.0,113761.0,Bills
1232.0,502056.0,2024-01-02,02:27:25,,13317.0,290620.0,Bills
1908.0,501808.0,2024-01-02,03:50:15,Deposit,6556.0,139050.0,Travel
1923.0,502031.0,2024-01-02,03:51:17,Deposit,16707.0,343546.0,Shopping
2626.0,,,,Withdrawal,,205371.0,Groceries
2770.0,,,,Deposit,11548.0,401687.0,Shopping
3371.0,502604.0,2024-01-02,06:45:40,Withdrawal,350.0,387902.0,Dining
4470.0,501178.0,2024-01-02,08:52:10,Transfer,21746.0,64798.0,Groceries
4889.0,501084.0,2024-01-02,09:42:24,,10341.0,478722.0,Dining
5301.0,500465.0,2024-01-02,10:35:21,Withdrawal,43120.0,336738.0,Shopping
6040.0,500610.0,2024-01-02,12:02:14,Withdrawal,24623.0,266119.0,Bills
6948.0,501722.0,2024-01-02,13:55:33,Withdrawal,46386.0,167741.0,Groceries
7476.0,501344.0,2024-01-02,15:01:34,Transfer,22531.0,366976.0,Travel
,500262.0,2024-01-02,15:09:13,Withdrawal,37619.0,12911.0,Shopping
8053.0,501912.0,2024-01-02,16:07:57,Withdrawal,45104.0,470334.0,Shopping
8399.0,501603.0,2024-01-02,16:48:05,Transfer,19301.0,491310.0,Bills
8675.0,501304.0,2024-01-02,17:17:37,Deposit,4438.0,265793.0,Dining
8737.0,500795.0,2024-01-02,17:26:01,Withdrawal,,6157.0,Dining
10425.0,501079.0,2024-01-02,20:48:14,Deposit,45873.0,53436.0,Shopping
,501239.0,2024-01-02,20:53:42,Withdrawal,23107.0,284075.0,Bills
